Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-10-12,442.0,448.739990234375,438.5799865722656,442.29998779296875,38791100,0,0
2020-10-13,443.3500061035156,448.8900146484375,436.6000061035156,446.6499938964844,34463700,0,0
2020-10-14,449.7799987792969,465.8999938964844,447.3500061035156,461.29998779296875,48045400,0,0
2020-10-15,450.30999755859375,456.57000732421875,442.5,448.8800048828125,35672400,0,0
2020-10-16,454.44000244140625,455.95001220703125,438.8500061035156,439.6700134277344,32775900,0,0
2020-10-19,446.239990234375,447.0,428.8699951171875,430.8299865722656,36287800,0,0
2020-10-20,431.75,431.75,419.04998779296875,421.94000244140625,31656300,0,0
2020-10-21,422.70001220703125,432.95001220703125,421.25,422.6400146484375,32370500,0,0
2020-10-22,441.9200134277344,445.2300109863281,424.510009765625,425.7900085449219,39993200,0,0
2020-10-23,421.8399963378906,422.8900146484375,407.3800048828125,420.6300048828125,33717000,0,0
2020-10-26,411.6300048828125,425.760009765625,410.0,420.2799987792969,28239200,0,0
2020-10-27,423.760009765625,430.5,420.1000061035156,424.67999267578125,22686500,0,0
2020-10-28,416.4800109863281,418.6000061035156,406.0,406.0199890136719,25451400,0,0
2020-10-29,409.9599914550781,418.05999755859375,406.4599914550781,410.8299865722656,22655300,0,0
2020-10-30,406.8999938964844,407.5899963378906,379.1099853515625,388.0400085449219,42511300,0,0
2020-11-02,394.0,406.9800109863281,392.29998779296875,400.510009765625,29021100,0,0
2020-11-03,409.7300109863281,427.7699890136719,406.69000244140625,423.8999938964844,34351700,0,0
2020-11-04,430.6199951171875,435.3999938964844,417.1000061035156,420.9800109863281,32143100,0,0
2020-11-05,428.29998779296875,440.0,424.0,438.0899963378906,28414500,0,0
2020-11-06,436.1000061035156,436.57000732421875,424.2799987792969,429.95001220703125,21706000,0,0
2020-11-09,439.5,452.5,421.0,421.260009765625,34705700,0,0
2020-11-10,420.0899963378906,420.0899963378906,396.03009033203125,410.2200012207031,24134396,0,0
